error,correct,learncount,type,correctly_Found,learnrate,Learning,InvestigationRate,Correct Count,NameOfSpecies,epoch
2019-05-09 08:05
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],0.122216,1.0,5,RL,True,1e-05,True,5,0,0
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],1.168949,0.0,10,RL,False,1e-05,True,9,0,0
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],0.241644,1.0,15,RL,True,1e-05,True,13,0,2
[[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]],1.183784,0.0,20,RL,False,1e-05,True,15,0,4
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],0.121920,1.0,25,RL,True,1e-05,True,20,0,5
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.122518,1.0,30,RL,True,1e-05,True,25,0,5
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.152892,1.0,35,RL,True,1e-05,True,30,0,5
[[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]],0.180315,1.0,40,RL,True,1e-05,True,35,0,5
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.795860,1.0,45,RL,True,1e-05,True,40,0,5
[[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]],0.121926,1.0,50,RL,True,1e-05,True,44,0,6
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],0.122036,1.0,55,RL,True,1e-05,True,49,0,6
[[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]],0.121915,1.0,60,RL,True,1e-05,True,54,0,6
[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]],0.123351,1.0,65,RL,True,1e-05,True,59,0,6
[[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]],1.221017,0.0,70,RL,False,1e-05,True,62,0,7
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],2.746703,0.0,75,RL,False,1e-05,True,65,0,9
[[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]],3.337482,0.0,80,RL,False,1e-05,True,69,0,10
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.171296,1.0,85,RL,True,1e-05,True,73,0,12
[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]],0.130130,1.0,90,RL,True,1e-05,True,76,0,14
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.121915,1.0,95,RL,True,1e-05,True,80,0,15
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.121915,1.0,100,RL,True,1e-05,True,85,0,15
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.255636,1.0,105,RL,True,1e-05,True,90,0,15
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.121960,1.0,110,RL,True,1e-05,True,95,0,15
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.122802,1.0,115,RL,True,1e-05,True,100,0,15
[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]],0.153413,1.0,120,RL,True,1e-05,True,105,0,15
[[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],0.251001,1.0,125,RL,True,1e-05,True,108,0,17
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],2.417733,0.0,130,RL,False,1e-05,True,110,0,19
[[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]],0.121938,1.0,135,RL,True,1e-05,True,113,0,22
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],0.249011,1.0,140,RL,True,1e-05,True,117,0,23
[[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]],0.121915,1.0,145,RL,True,1e-05,True,122,0,23
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.298200,1.0,150,RL,True,1e-05,True,125,0,25
[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]],1.473928,0.0,155,RL,False,1e-05,True,129,0,25
[[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],0.122732,1.0,160,RL,True,1e-05,True,133,0,27
[[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]],0.168072,1.0,165,RL,True,1e-05,True,138,0,27
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.121918,1.0,170,RL,True,1e-05,True,142,0,28
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],0.122077,1.0,175,RL,True,1e-05,True,147,0,28
[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]],0.299772,1.0,180,RL,True,1e-05,True,151,0,29
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.418564,1.0,185,RL,True,1e-05,True,156,0,29
[[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]],0.121927,1.0,190,RL,True,1e-05,True,160,0,30
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.228766,1.0,195,RL,True,1e-05,True,164,0,31
[[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]],0.121923,1.0,200,RL,True,1e-05,True,168,0,32
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],0.122269,1.0,205,RL,True,1e-05,True,172,0,33
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],0.121919,1.0,210,RL,True,1e-05,True,177,0,33
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.123178,1.0,215,RL,True,1e-05,True,181,0,34
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],0.122471,1.0,220,RL,True,1e-05,True,186,0,34
[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]],0.122008,1.0,225,RL,True,1e-05,True,191,0,34
[[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],0.130357,1.0,230,RL,True,1e-05,True,194,0,36
[[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]],3.167037,0.0,235,RL,False,1e-05,True,198,0,36
[[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],0.121917,1.0,240,RL,True,1e-05,True,202,0,38
[[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]],0.125134,1.0,245,RL,True,1e-05,True,207,0,38
[[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]],0.122097,1.0,250,RL,True,1e-05,True,212,0,38
[[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]],2.267582,0.0,255,RL,False,1e-05,True,216,0,38
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],0.121939,1.0,260,RL,True,1e-05,True,221,0,39
[[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]],0.121920,1.0,265,RL,True,1e-05,True,226,0,39
[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]],0.121926,1.0,270,RL,True,1e-05,True,231,0,39
[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]],0.122058,1.0,275,RL,True,1e-05,True,236,0,39
