Total Error, action, LearnRate, InvestigationRate, Reward, Cache Size, High Error, Enhanced Count, Position of Low Error, Position of High Error, learn count,,,,,,,
0.138948735,1,0.01,90,1,1,0.138948735,9,0,0,1,,,,,,,
0.088966853,1,0.01,90,0.33,2,0.138180875,8,0,1,3,,,,,,,
0.08817718,1,0.01,90,0.33,3,0.139168969,7,0,2,8,,TotalScore,Average, ZeroScoreCount, thirdScoreCount, CoopScoreCount, MaxScoreCount
0.088963977,1,0.01,90,0.33,4,0.138184459,6,0,3,14,,3724.66,,93,8624,1189,94
0.089298957,1,0.01,90,0.33,5,0.13776768,5,0,4,21,,5337.64,,1902,1982,4213,1903
0.089183331,1,0.01,90,0.33,6,0.137911381,4,0,5,29,,3879.16,,397,7860,1346,397
0.088626827,1,0.01,90,0.33,7,0.138605368,3,0,6,38,,3662.6,,388,8526,697,389
0.087647172,1,0.01,90,0.33,8,0.13983662,2,0,7,48,,6573.8,,53,28,9866,53
0.08626935,1,0.01,90,0.33,9,0.141589314,1,0,8,59,,,,,,,
0.084524649,1,0.01,90,0.33,10,0.143844799,0,0,9,71,,,,,,,
0.082449534,1,0.009995,90.0045,0.33,11,0.146581573,0,0,1,73,,,,,,,
0.083539157,1,0.009990003,90.00900023,0.33,12,0.145137065,0,0,1,75,,,,,,,
0.084634135,1,0.009985007,90.01350068,0.33,13,0.143702052,0,0,1,77,,TotalScore,Average, ZeroScoreCount, thirdScoreCount, CoopScoreCount, MaxScoreCount
0.085734339,1,0.009980015,90.01800135,0.33,14,0.142276621,0,0,1,79,,3723.66,,94,8624,1189,93
0.086839634,1,0.009975025,90.02250225,0.33,15,0.14086086,0,0,1,81,,5336.64,,1903,1982,4213,1902
0.087949883,1,0.009970037,90.02700338,0.33,16,0.139454853,0,0,1,83,,3879.16,,397,7860,1346,397
0.089064946,1,0.009965052,90.03150473,0.33,17,0.138058685,0,0,1,85,,3661.6,,389,8526,697,388
0.090184679,1,0.00996007,90.0360063,0.33,18,0.13667244,0,0,1,87,,6573.8,,53,28,9866,53
0.091308934,1,0.00995509,90.0405081,0.33,19,0.135296201,0,0,1,89,,,,,,,
0.092437559,1,0.009950112,90.04501013,0.33,20,0.133930047,0,0,1,91,,,,,,,
0.404359646,0,0.009945137,90.04951238,0,20,0.400933839,0,20,1,93,,,,,,,
0.136381841,1,0.01,90,1,20,0.397783599,0,19,1,95,,,,,,,
0.091178661,1,0.009995,90.0045,0.33,20,0.399370972,0,18,1,97,,,,,,,
0.088033091,1,0.009990003,90.00900023,0.33,20,0.392757539,0,17,1,99,,,,,,,
0.086180016,1,0.009985007,90.01350068,0.33,20,0.388832474,0,16,1,101,,,,,,,
0.084366915,1,0.009980015,90.01800135,0.33,20,0.384970406,0,15,1,103,,,,,,,
0.381170593,0,0.009975025,90.02250225,0,20,0.379882637,0,14,1,105,,,,,,,
0.149081226,1,0.01,90,1,20,0.376860465,0,13,1,107,,,,,,,
0.079701144,1,0.009995,90.0045,0.33,20,0.374928326,0,12,1,109,,,,,,,
0.077661874,1,0.009990003,90.00900023,0.33,20,0.370489882,0,11,1,111,,,,,,,
0.076026692,1,0.009985007,90.01350068,0.33,20,0.366908085,0,10,1,113,,,,,,,
0.363412106,0,0.009980015,90.01800135,0,20,0.363412106,0,9,1,115,,,,,,,
0.00353757,0,0.009975025,90.02250225,0.66,20,0.360627303,0,8,20,117,,,,,,,
0.003910009,0,0.009970037,90.02700338,0.66,20,0.356970325,0,8,20,119,,,,,,,
0.004241162,0,0.009965052,90.03150473,0.66,20,0.353877212,0,8,20,121,,,,,,,
0.004583346,0,0.00996007,90.0360063,0.66,20,0.3508188,0,8,20,123,,,,,,,
0.004936296,0,0.00995509,90.0405081,0.66,20,0.347794707,0,8,20,125,,,,,,,
0.005299753,0,0.009950112,90.04501013,0.66,20,0.344804542,0,8,20,127,,,,,,,
0.005673462,0,0.009945137,90.04951238,0.66,20,0.341847907,0,8,20,129,,,,,,,
0.006057176,0,0.009940165,90.05401485,0.66,20,0.338924398,0,8,20,131,,,,,,,
0.006450651,0,0.009935195,90.05851755,0.66,20,0.336033604,0,8,20,133,,,,,,,
0.00685365,0,0.009930227,90.06302048,0.66,20,0.33317511,0,8,20,135,,,,,,,
0.00726594,0,0.009925262,90.06752363,0.66,20,0.330348499,0,8,20,137,,,,,,,
0.007687297,0,0.009920299,90.07202701,0.66,20,0.327553348,0,8,20,139,,,,,,,
0.0081175,0,0.009915339,90.07653061,0.66,20,0.324789234,0,8,20,141,,,,,,,
0.008556334,0,0.009910381,90.08103443,0.66,20,0.322055732,0,8,20,143,,,,,,,
0.009003591,0,0.009905426,90.08553849,0.66,20,0.319352418,0,8,20,145,,,,,,,
0.009459066,0,0.009900474,90.09004276,0.66,20,0.316678865,0,8,20,147,,,,,,,
0.009922562,0,0.009895523,90.09454726,0.66,20,0.314034647,0,8,20,149,,,,,,,
0.010393887,0,0.009890576,90.09905199,0.66,20,0.311419342,0,8,20,151,,,,,,,
0.010872853,0,0.00988563,90.10355694,0.66,20,0.308832526,0,8,20,153,,,,,,,
0.01135928,0,0.009880687,90.10806212,0.66,20,0.30627378,0,8,20,155,,,,,,,
0.201485574,1,0.009875747,90.11256753,1,20,0.303294554,0,8,1,157,,,,,,,
0.300585409,0,0.009870809,90.11707315,0,20,0.300585409,0,7,1,159,,,,,,,
0.012659501,0,0.009865874,90.12157901,0.66,20,0.29974043,0,6,20,161,,,,,,,
0.01338252,0,0.009860941,90.12608509,0.66,20,0.296281169,0,6,20,163,,,,,,,
0.01390387,0,0.00985601,90.13059139,0.66,20,0.293856504,0,6,20,165,,,,,,,
0.211721465,1,0.009851082,90.13509792,1,20,0.290816266,0,6,1,167,,,,,,,
0.288269226,0,0.009846157,90.13960468,0,20,0.288269226,0,5,1,169,,,,,,,
0.015249829,0,0.009841234,90.14411166,0.66,20,0.287842769,0,4,20,171,,,,,,,
0.016059202,0,0.009836313,90.14861886,0.66,20,0.284382324,0,4,20,173,,,,,,,
0.01661168,0,0.009831395,90.15312629,0.66,20,0.282081756,0,4,20,175,,,,,,,
0.01716995,0,0.009826479,90.15763395,0.66,20,0.279804863,0,4,20,177,,,,,,,
0.017733889,0,0.009821566,90.16214183,0.66,20,0.277551273,0,4,20,179,,,,,,,
0.018303375,0,0.009816655,90.16664994,0.66,20,0.275320621,0,4,20,181,,,,,,,
0.018878291,0,0.009811747,90.17115827,0.66,20,0.273112546,0,4,20,183,,,,,,,
0.019458524,0,0.009806841,90.17566683,0.66,20,0.270926692,0,4,20,185,,,,,,,
0.020043964,0,0.009801938,90.18017561,0.66,20,0.268762711,0,4,20,187,,,,,,,
0.020634506,0,0.009797037,90.18468462,0.66,20,0.266620259,0,4,20,189,,,,,,,
0.021230046,0,0.009792138,90.18919385,0.66,20,0.264498997,0,4,20,191,,,,,,,
0.021830486,0,0.009787242,90.19370331,0.66,20,0.262398595,0,4,20,193,,,,,,,
0.022435728,0,0.009782349,90.198213,0.66,20,0.260318726,0,4,20,195,,,,,,,
0.023045681,0,0.009777457,90.20272291,0.66,20,0.258259068,0,4,20,197,,,,,,,
0.023660253,0,0.009772569,90.20723305,0.66,20,0.256219308,0,4,20,199,,,,,,,
0.024279358,0,0.009767682,90.21174341,0.66,20,0.254199137,0,4,20,201,,,,,,,
0.02490291,0,0.009762799,90.21625399,0.66,20,0.252198251,0,4,20,203,,,,,,,
0.025530829,0,0.009757917,90.22076481,0.66,20,0.250216354,0,4,20,205,,,,,,,
0.026163033,0,0.009753038,90.22527585,0.66,20,0.251752972,0,0,20,207,,,,,,,
0.02552921,0,0.009748162,90.22978711,0.66,20,0.25022142,0,4,20,209,,,,,,,
0.026160787,0,0.009743288,90.2342986,0.66,20,0.251746005,0,0,20,211,,,,,,,
0.025527609,0,0.009738416,90.23881031,0.66,20,0.250226433,0,4,20,213,,,,,,,
0.026158559,0,0.009733547,90.24332225,0.66,20,0.251739093,0,0,20,215,,,,,,,
